id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
102166427,2021-11-30 02:22:00,2021-11-30,2021-11-29 13:22:00 UTC,Wellington,1100791,svendhansen,Svend Hansen,2021-11-29 13:22:49 UTC,2024-07-29 23:24:53 UTC,research,,https://www.inaturalist.org/observations/102166427,,https://static.inaturalist.org/sounds/333476.mp3?1638192187,"",,2,0,false,2,"Onslow Alms - Onslow Road (opposite), Khandallah, Wellington 6035, New Zealand",-41.2530306762,174.8017924279,11,,,,11,,open,false,gps,gps,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
102334719,2019/07/18 ,2019-07-18,,Auckland,59262,linds-nz,Lindsay Alexander,2021-12-02 02:40:25 UTC,2024-10-28 13:21:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/102334719,,https://static.inaturalist.org/sounds/334728.wav?1638412589,"",Recorded with an AR4 recorder in Russell Forest.,2,0,false,,"Whangaruru 0184, New Zealand",-35.3075373076,174.2531862363,244,,,,244,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
103241070,2021-12-18 21:45:00,2021-12-18,2021-12-18 08:45:00 UTC,Auckland,5096111,olboss,,2021-12-18 09:03:17 UTC,2024-07-31 17:06:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103241070,,https://static.inaturalist.org/sounds/338391.m4a?1639818201,"",Only heard. Similar time each night this week.,2,0,false,2,"Wellington, NZ",-41.1083019111,174.8742929546,82,,,,27847,obscured,open,true,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
103538653,2021-12-22 21:40:00,2021-12-22,2021-12-22 21:40:00 UTC,UTC,1492344,brendandoogan,Brendan Doogan,2021-12-23 19:09:08 UTC,2024-07-29 12:55:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/103538653,,https://static.inaturalist.org/sounds/339803.m4a?1640286551,"",,2,0,false,2,"Opito Bay 3592, New Zealand",-36.7282490259,175.7999228686,107,,,,107,,open,false,gps,gps,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
104800107,2022/01/11 7:08 PM NZDT,2022-01-11,2022-01-11 06:08:00 UTC,Auckland,472475,mark_smale,"",2022-01-12 06:09:03 UTC,2024-07-30 18:53:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/104800107,,https://static.inaturalist.org/sounds/345640.m4a?1641967692,"",In secondary kanuka forest.,2,0,false,,"Te Henga (Bethells Beach) 0781, New Zealand",-36.874354433,174.4649010504,61,,,,61,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
105087626,Mon Jan 17 2022 21:13:49 GMT+1300 (GMT+13),2022-01-17,2022-01-17 08:13:49 UTC,Nuku'alofa,5004973,greghadley1,,2022-01-17 08:14:32 UTC,2024-08-09 08:35:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/105087626,,https://static.inaturalist.org/sounds/347083.m4a?1642407274,"","",1,0,false,3,"Pureora Forest Park, Pureora Forest Park, Manawatu-Wanganui, NZ",-38.5118257232,175.5617230981,152,,,,152,,open,false,,,Ruru (Morepork),Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
105762318,2022-01-29 22:52:35,2022-01-29,2022-01-29 09:52:35 UTC,Wellington,69103,simonoosterman,Simon Oosterman Beckers,2022-01-29 09:54:11 UTC,2024-07-29 18:44:10 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/105762318,,https://static.inaturalist.org/sounds/351331.mp3?1643450054,"",,2,0,false,2,"Auckland, NZ",-36.9068696845,174.6233430505,31,,,,31,,open,false,gps,gps,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
106112145,Fri Feb 04 2022 21:43:09 GMT+1300 (GMT+13),2022-02-04,2022-02-04 08:43:09 UTC,Nuku'alofa,762458,benknight,Ben Knight,2022-02-04 08:44:37 UTC,2024-07-31 20:53:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106112145,,https://static.inaturalist.org/sounds/353415.m4a?1643964282,"",2 calling one more faint than the other,2,0,false,3,"Riwai Street, Paraparaumu, Wellington, NZ",-40.9215298277,175.0049665634,8,,,,8,,open,false,,,Morepork,Ninox novaeseelandiae,Ruru (Morepork),Aves,979817
106427519,Wed Feb 09 2022 22:59:49 GMT+1300 (GMT+13),2022-02-09,2022-02-09 09:59:49 UTC,Nuku'alofa,762458,benknight,Ben Knight,2022-02-09 10:00:15 UTC,2024-08-10 21:20:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106427519,,https://static.inaturalist.org/sounds/355257.m4a?1644400827,"","",3,0,false,3,"Riwai Street, Paraparaumu, Wellington, NZ",-40.921423126,175.0048855927,28,,,,28,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
106659449,2022/02/12 11:55 PM NZDT,2022-02-12,2022-02-12 10:55:00 UTC,Wellington,1305207,dave_holland,Dave Holland,2022-02-13 06:03:33 UTC,2024-08-05 13:35:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/106659449,,https://static.inaturalist.org/sounds/356780.mpga?1644732159,"",,2,0,false,,"Southland District, Southland, New Zealand",-45.5814180666,167.161949262,31,,,,31,,open,false,,,Morepork,Ninox novaeseelandiae novaeseelandiae,Ruru (Morepork),Aves,413503
